scientific_name,ebird_code,common_name,alpha
Amytornis whitei,strgra4,Pilbara Grasswren,
Amytornis woodwardi,whtgra1,White-throated Grasswren,
Anabacerthia amaurotis,whbfog1,White-browed Foliage-gleaner,
Anabacerthia lichtensteini,obfgle2,Ochre-breasted Foliage-gleaner,
Anabacerthia ruficaudata,rutfog1,Rufous-tailed Foliage-gleaner,
Anabacerthia striaticollis,mofgle1,Montane Foliage-gleaner,
Anabacerthia variegaticeps,stfgle1,Scaly-throated Foliage-gleaner,STFG
Anabathmis hartlaubii,prisun2,Principe Sunbird,
Anabathmis newtonii,newsun2,Newton's Sunbird,
Anabathmis reichenbachii,reisun2,Reichenbach's Sunbird,
Anabazenops dorsalis,ducfog1,Bamboo Foliage-gleaner,
Anabazenops fuscus,wcfgle1,White-collared Foliage-gleaner,
Anabrus cerciata,,,
Anabrus simplex,,,
Anadolua burri,,,
Anadolua schwarzi,,,
Anadrymadusa brevipennis,,,
Anadrymadusa ornatipennis,,,
Anadrymadusa retowskii,,,
Anadrymadusa spinicercis,,,
Anairetes alpinus,abttyr1,Ash-breasted Tit-Tyrant,
Anairetes fernandezianus,jfttyr1,Juan Fernandez Tit-Tyrant,
Anairetes flavirostris,ybttyr1,Yellow-billed Tit-Tyrant,
Anairetes nigrocristatus,bkctit1,Black-crested Tit-Tyrant,
Anairetes parulus,tuttyr1,Tufted Tit-Tyrant,
Anairetes reguloides,pcttyr1,Pied-crested Tit-Tyrant,
Anaplectes rubriceps,rehwea1,Red-headed Weaver,
Anapsaltoda pulchra,,,
Anarhynchus alexandrinus,kenplo1,Kentish Plover,
Anarhynchus alticola,punplo1,Puna Plover,
Anarhynchus asiaticus,casplo1,Caspian Plover,
Anarhynchus atrifrons,lessap1,Tibetan Sand Plover,
Anarhynchus bicinctus,dobplo1,Double-banded Plover,
Anarhynchus collaris,colplo1,Collared Plover,COPL
Anarhynchus dealbatus,whfplo2,White-faced Plover,
Anarhynchus falklandicus,twbplo1,Two-banded Plover,
Anarhynchus frontalis,wrybil1,Wrybill,
Anarhynchus javanicus,javplo1,Javan Plover,
Anarhynchus leschenaultii,grsplo,Greater Sand Plover,GSAP
Anarhynchus marginatus,whfplo1,White-fronted Plover,
Anarhynchus mongolus,lessap2,Siberian Sand Plover,SISP
Anarhynchus montanus,mouplo,Mountain Plover,MOPL
Anarhynchus nivosus,snoplo5,Snowy Plover,SNPL
Anarhynchus obscurus,rebdot1,New Zealand Plover,
Anarhynchus pallidus,chbplo1,Chestnut-banded Plover,
Anarhynchus pecuarius,kitplo1,Kittlitz's Plover,
Anarhynchus peronii,malplo1,Malaysian Plover,
Anarhynchus ruficapillus,recplo1,Red-capped Plover,
Anarhynchus sanctaehelenae,sthplo1,St. Helena Plover,
Anarhynchus thoracicus,madplo1,Madagascar Plover,
Anarhynchus veredus,oriplo1,Oriental Plover,ORPL
Anarhynchus wilsonia,wilplo,Wilson's Plover,WIPL
Anartia amathea,,,
Anas acuta,norpin,Northern Pintail,NOPI
Anas albogularis,andtea1,Andaman Teal,
Anas andium,spetea3,Andean Teal,
Anas bahamensis,whcpin,White-cheeked Pintail,WCHP
Anas bernieri,bertea1,Bernier's Teal,
Anas capensis,captea1,Cape Teal,
Anas castanea,chetea1,Chestnut Teal,
Anas chlorotis,brotea1,Brown Teal,
Anas crecca,gnwtea,Green-winged Teal,GWTE
Anas diazi,mexduc,Mexican Duck,MEDU
Anas eatoni,eatpin1,Eaton's Pintail,
Anas erythrorhyncha,rebduc1,Red-billed Teal,
Anas flavirostris,yebtea1,Yellow-billed Teal,
Anas fulvigula,motduc,Mottled Duck,MODU
Anas georgica,yebpin1,Yellow-billed Pintail,
Anas gibberifrons,suntea1,Sunda Teal,
Anas gracilis,gretea1,Grey Teal,
Anas laysanensis,layduc,Laysan Duck,LAYD
Anas luzonica,phiduc1,Philippine Duck,
Anas melleri,melduc1,Meller's Duck,
Anas nesiotis,caitea1,Campbell Teal,
Anas platyrhynchos,mallar3,Mallard,MALL
Anas poecilorhyncha,isbduc1,Indian Spot-billed Duck,
Anas rubripes,ambduc,American Black Duck,ABDU
Anas sparsa,afbduc1,African Black Duck,
Anas superciliosa,pabduc1,Pacific Black Duck,
Anas undulata,yebduc1,Yellow-billed Duck,
Anas wyvilliana,hawduc,Hawaiian Duck,HAWD
Anas zonorhyncha,spbduc,Eastern Spot-billed Duck,ESBD
Anasaitis canosus,,,
Anastomus lamelligerus,afrope1,African Openbill,
Anastomus oscitans,asiope1,Asian Openbill,
Anaxipha calusa,,,
Anaxipha exigua,,,
Anaxipha fultoni,,,
Anaxipha hyalicetra,,,
Anaxipha rosamacula,,,
Anaxipha thomasi,,,
Anaxipha tinnulacita,,,
Anaxipha tinnulenta,,,
Anaxipha vernalis,,,
Anaxyrus americanus,,,
Anaxyrus boreas,,,
Anaxyrus californicus,,,
Anaxyrus canorus,,,
Anaxyrus cognatus,,,
Anaxyrus debilis,,,
Anaxyrus fowleri,,,
Anaxyrus hemiophrys,,,
Anaxyrus nelsoni,,,
Anaxyrus punctatus,,,
Anaxyrus quercicus,,,
Anaxyrus retiformis,,,
Anaxyrus speciosus,,,
Anaxyrus terrestris,,,
Anaxyrus woodhousii,,,
Ancistrops strigilatus,chwhoo1,Chestnut-winged Hookbill,
Ancistrura nigrovittata,,,
Andigena cucullata,homtou1,Hooded Mountain Toucan,
Andigena hypoglauca,gybmot1,Grey-breasted Mountain Toucan,
Andigena laminirostris,pbmtou1,Plate-billed Mountain Toucan,
Andigena nigrirostris,bbmtou1,Black-billed Mountain Toucan,
Andinobates bombetes,,,
Andinobates cassidyhornae,,,
Andinobates opisthomelas,,,
Andinobates victimatus,,,
Andreiniimon nuptialis,,,
Androdon aequatorialis,tobhum1,Tooth-billed Hummingbird,TBHU
Andropadus importunus,somgre1,Sombre Greenbul,
Androphobus viridis,papwhi1,Papuan Whipbird,
Anele ulia,,,
Anelytra cornuta,,,
Anelytra curvata,,,
Anelytra elongata,,,
Anelytra fastigata,,,
Anelytra furcata,,,
Anelytra petria,,,
Anelytra robusta,,,
Anelytra rufa,,,
Anelytra symfioma,,,
Anelytra tristellata,,,
Angaracris barabensis,,,
Anguis colchica,,,
Angusta fangtingyui,,,
Anhima cornuta,horscr1,Horned Screamer,
Anhinga anhinga,anhing,Anhinga,ANHI
Anhinga melanogaster,darter2,Oriental Darter,
Anhinga novaehollandiae,darter4,Australasian Darter,
Anhinga rufa,darter3,African Darter,
Anhydrophryne hewitti,,,
Anhydrophryne ngongoniensis,,,
Anhydrophryne rattrayi,,,
Animal,,,
Anisognathus igniventris,sbmtan1,Scarlet-bellied Mountain Tanager,
Anisognathus lacrymosus,lamtan1,Lacrimose Mountain Tanager,
Anisognathus melanogenys,bkcmot1,Santa Marta Mountain Tanager,
Anisognathus notabilis,bcmtan2,Black-chinned Mountain Tanager,
Anisognathus somptuosus,bwmtan1,Blue-winged Mountain Tanager,
Anodorhynchus hyacinthinus,hyamac1,Hyacinth Macaw,
Anodorhynchus leari,indmac1,Lear's Macaw,
Anoedopoda lamellata,,,
Anolis sagrei,,,
Anomaloglossus baeobatrachus,,,
Anomaloglossus stepheni,,,
Anomaloglossus surinamensis,,,
Anomalospiza imberbis,parwea1,Cuckoo-finch,
Anonconotus alpinus,,,
Anonconotus baracunensis,,,
Anonconotus ghilianii,,,
Anonconotus italoaustriacus,,,
Anonconotus ligustinus,,,
Anonconotus mercantouri,,,
Anonconotus occidentalis,,,
Anopetia gounellei,brther2,Broad-tipped Hermit,
Anoplognathus brunnipennis,,,
Anoplophora chinensis,,,
Anoplotrupes stercorosus,,,
Anorrhinus austeni,brnhor1,Austen's Brown Hornbill,
Anorrhinus galeritus,buchor1,Bushy-crested Hornbill,
Anorrhinus tickelli,ruchor1,Tickell's Brown Hornbill,
Anous ceruleus,bugnod,Blue Noddy,BGNO
Anous minutus,blknod,Black Noddy,BLNO
Anous stolidus,brnnod,Brown Noddy,BRNO
Anous tenuirostris,lesnod1,Lesser Noddy,
Anser albifrons,gwfgoo,Greater White-fronted Goose,GWFG
Anser anser,gragoo,Greylag Goose,GRGO
Anser brachyrhynchus,pifgoo,Pink-footed Goose,PFGO
Anser caerulescens,snogoo,Snow Goose,SNGO
Anser canagicus,empgoo,Emperor Goose,EMGO
Anser cygnoides,swagoo1,Swan Goose,
Anser erythropus,lwfgoo,Lesser White-fronted Goose,LWFG
Anser fabalis,taibeg1,Taiga Bean Goose,TABG
Anser indicus,bahgoo,Bar-headed Goose,
Anser rossii,rosgoo,Ross's Goose,ROGO
Anser serrirostris,tunbeg1,Tundra Bean Goose,TUBG
Anseranas semipalmata,maggoo1,Magpie Goose,
Ansonia hanitschi,,,
Ansonia spinulifer,,,
Anstisia alba,,,
Anstisia lutea,,,
Anstisia rosea,,,
Anstisia vitellina,,,
Antaxius bouvieri,,,
Antaxius chopardi,,,
Antaxius difformis,,,
Antaxius florezi,,,
Antaxius hispanicus,,,
Antaxius kraussii,,,
Antaxius pedestris,,,
Antaxius sorrezensis,,,
Antaxius spinibrachius,,,
Antechinus flavipes,,,
Anterastes antecessor,,,
Anterastes serbicus,,,
Anthidium oblongatum,,,
Anthidium punctatum,,,
Anthipes monileger,whgfly1,White-gorgeted Flycatcher,
Anthipes solitaris,rubfly3,Rufous-browed Flycatcher,
Anthobaphes violacea,orbsun2,Orange-breasted Sunbird,
Anthocephala berlepschi,tolblo1,Tolima Blossomcrown,
Anthocephala floriceps,samblo1,Santa Marta Blossomcrown,
Anthochaera carunculata,redwat1,Red Wattlebird,
Anthochaera chrysoptera,bruwat1,Little Wattlebird,
Anthochaera lunulata,litwat1,Western Wattlebird,
Anthochaera paradoxa,yelwat1,Yellow Wattlebird,
Anthochaera phrygia,reghon1,Regent Honeyeater,
Anthophora abrupta,,,
Anthophora bimaculata,,,
Anthophora plumipes,,,
Anthophora ursina,,,
Anthornis melanura,nezbel1,New Zealand Bellbird,
Anthoscopus caroli,afptit1,Grey Penduline Tit,
Anthoscopus flavifrons,foptit1,Forest Penduline Tit,
Anthoscopus minutus,soptit1,Cape Penduline Tit,
Anthoscopus musculus,mcptit1,Mouse-colored Penduline Tit,
Anthoscopus parvulus,yeptit1,Yellow Penduline Tit,
Anthoscopus punctifrons,septit1,Sennar Penduline Tit,
Anthracoceros albirostris,orphor1,Oriental Pied Hornbill,
Anthracoceros coronatus,maphor1,Malabar Pied Hornbill,
Anthracoceros malayanus,blahor1,Black Hornbill,
Anthracoceros marchei,palhor1,Palawan Hornbill,
Anthracoceros montani,sulhor2,Sulu Hornbill,
Anthracothorax dominicus,antman2,Hispaniolan Mango,HIMA
Anthracothorax mango,jamman1,Jamaican Mango,JAMA
Anthracothorax nigricollis,bltman1,Black-throated Mango,BTMA
Anthracothorax prevostii,gnbman,Green-breasted Mango,GNBM
Anthracothorax veraguensis,verman1,Veraguan Mango,VERM
Anthracothorax viridigula,grtman1,Green-throated Mango,
Anthracothorax viridis,greman1,Green Mango,GMAG
Anthrenus coloratus,,,
Anthreptes anchietae,ancsun1,Anchieta's Sunbird,
Anthreptes aurantius,vitsun1,Violet-tailed Sunbird,
Anthreptes gabonicus,mobsun1,Mangrove Sunbird,
Anthreptes griseigularis,pltsun3,Grey-throated Sunbird,
Anthreptes longuemarei,wvbsun1,Western Violet-backed Sunbird,
Anthreptes malacensis,pltsun2,Brown-throated Sunbird,
Anthreptes neglectus,uvbsun1,Uluguru Violet-backed Sunbird,
Anthreptes orientalis,kvbsun1,Eastern Violet-backed Sunbird,
Anthreptes rectirostris,grnsun1,Yellow-chinned Sunbird,
Anthreptes reichenowi,plbsun1,Plain-backed Sunbird,
Anthreptes rhodolaemus,retsun3,Red-throated Sunbird,
Anthreptes rubritorques,bansun1,Banded Green Sunbird,
Anthreptes seimundi,ligsun2,Little Green Sunbird,
Anthreptes simplex,plasun1,Plain Sunbird,
Anthreptes tephrolaemus,grnsun2,Grey-chinned Sunbird,
Anthropoides paradiseus,,,
Anthropoides virgo,,,
Anthus antarcticus,sogpip1,South Georgia Pipit,
Anthus australis,auspip2,Australian Pipit,
Anthus berthelotii,berpip1,Berthelot's Pipit,
Anthus bogotensis,parpip1,Paramo Pipit,
Anthus brachyurus,shtpip1,Short-tailed Pipit,
Anthus brevirostris,shbpip3,Puna Pipit,
Anthus caffer,buspip1,Bushveld Pipit,
Anthus campestris,tawpip1,Tawny Pipit,
Anthus cervinus,retpip,Red-throated Pipit,RTPI
Anthus chacoensis,chapip1,Pampas Pipit,
Anthus chii,yelpip2,Yellowish Pipit,YEPI
Anthus cinnamomeus,afrpip1,African Pipit,
Anthus correndera,corpip1,Correndera Pipit,
Anthus crenatus,yetpip1,African Rock Pipit,
Anthus furcatus,shbpip1,Short-billed Pipit,
Anthus godlewskii,blypip1,Blyth's Pipit,
Anthus gustavi,pecpip,Pechora Pipit,PEPI
Anthus gutturalis,alppip1,Alpine Pipit,
Anthus hellmayri,helpip1,Hellmayr's Pipit,
Anthus hodgsoni,olbpip,Olive-backed Pipit,OBPI
Anthus hoeschi,moupip1,Mountain Pipit,
Anthus leucophrys,plbpip1,Plain-backed Pipit,
Anthus lineiventris,strpip1,Striped Pipit,
Anthus melindae,malpip1,Malindi Pipit,
Anthus nattereri,ocbpip1,Ochre-breasted Pipit,
Anthus nicholsoni,lobpip7,Nicholson's Pipit,
Anthus nilghiriensis,nilpip1,Nilgiri Pipit,
Anthus novaeseelandiae,auspip3,New Zealand Pipit,
Anthus nyassae,woopip1,Wood Pipit,
Anthus pallidiventris,lolpip1,Long-legged Pipit,
Anthus peruvianus,yelpip3,Peruvian Pipit,
Anthus petrosus,rocpip1,European Rock Pipit,
Anthus pratensis,meapip1,Meadow Pipit,MEPI
Anthus richardi,ricpip1,Richard's Pipit,
Anthus roseatus,rospip1,Rosy Pipit,
Anthus rubescens,amepip,American Pipit,AMPI
Anthus rufulus,oripip1,Paddyfield Pipit,
Anthus similis,lobpip1,Long-billed Pipit,
Anthus sokokensis,sokpip1,Sokoke Pipit,
Anthus spinoletta,watpip1,Water Pipit,
Anthus spragueii,sprpip,Sprague's Pipit,SPPI
Anthus sylvanus,uplpip1,Upland Pipit,
Anthus trivialis,trepip,Tree Pipit,TRPI
Anthus vaalensis,bufpip1,Buffy Pipit,
Antigone antigone,sarcra1,Sarus Crane,
Antigone canadensis,sancra,Sandhill Crane,SACR
Antigone rubicunda,brolga1,Brolga,
Antigone vipio,whncra1,White-naped Crane,
Antilocapra americana,,,
Antilope cervicapra,,,
Antipodectes bituberculatus,,,
Antiurus maculicaudus,sptnig1,Spot-tailed Nightjar,
Antrostomus arizonae,souwpw1,Mexican Whip-poor-will,MWPW
Antrostomus badius,yucnig1,Yucatan Nightjar,YUNI
Antrostomus carolinensis,chwwid,Chuck-will's-widow,CWWI
Antrostomus cubanensis,granig2,Cuban Nightjar,CUNI
Antrostomus ekmani,granig3,Hispaniolan Nightjar,HINI
Antrostomus noctitherus,purnig1,Puerto Rican Nightjar,PRNI
Antrostomus ridgwayi,bucnig,Buff-collared Nightjar,BCNI
Antrostomus rufus,rufnig1,Rufous Nightjar,RUNI
Antrostomus salvini,tacnig1,Tawny-collared Nightjar,TCNI
Antrostomus saturatus,dusnig1,Dusky Nightjar,DUNI
Antrostomus sericocaudatus,sitnig1,Silky-tailed Nightjar,
Antrostomus vociferus,easwpw1,Eastern Whip-poor-will,EWPW
Anumara forbesi,forbla1,Forbes's Blackbird,
Anumbius annumbi,firgat1,Firewood-gatherer,
Anurogryllus arboreus,,,
Anurogryllus celerinictus,,,
Anurogryllus muticus,,,
Anurolimnas castaneiceps,chhcra1,Chestnut-headed Crake,
Aonyx cinereus,,,
Aotus azarae,,,
Apalharpactes mackloti,sumtro1,Sumatran Trogon,
Apalharpactes reinwardtii,javtro1,Javan Trogon,
Apalis alticola,brhapa1,Brown-headed Apalis,
Apalis argentea,kunapa1,Kungwe Apalis,
Apalis binotata,masapa1,Lowland Masked Apalis,
Apalis chapini,chaapa1,Chapin's Apalis,
Apalis chariessa,whwapa1,White-winged Apalis,
Apalis chirindensis,chiapa1,Chirinda Apalis,
Apalis cinerea,gryapa1,Grey Apalis,
Apalis flavida,yebapa1,Yellow-breasted Apalis,
Apalis flavigularis,batapa3,Yellow-throated Apalis,
Apalis fuscigularis,batapa4,Taita Apalis,
Apalis goslingi,gosapa1,Gosling's Apalis,
Apalis jacksoni,bltapa1,Black-throated Apalis,
Apalis karamojae,karapa2,Karamoja Apalis,
Apalis lynesi,batapa5,Namuli Apalis,
Apalis melanocephala,blhapa1,Black-headed Apalis,
Apalis nigriceps,blcapa1,Black-capped Apalis,
Apalis personata,blfapa1,Mountain Masked Apalis,
Apalis porphyrolaema,chtapa3,Chestnut-throated Apalis,
Apalis ruddi,rudapa1,Rudd's Apalis,
Apalis rufogularis,butapa1,Buff-throated Apalis,
Apalis sharpii,shaapa2,Sharpe's Apalis,
Apalis thoracica,batapa2,Bar-throated Apalis,
Apaloderma aequatoriale,bactro1,Bare-cheeked Trogon,
Apaloderma narina,nartro1,Narina Trogon,
Apaloderma vittatum,battro1,Bar-tailed Trogon,
Apalopteron familiare,bonhon1,Bonin White-eye,
Apartus michalki,,,
Aphanotriccus audax,blbfly1,Black-billed Flycatcher,BLBF
Aphanotriccus capitalis,tacfly1,Tawny-chested Flycatcher,TCFL
Aphelocephala leucopsis,souwhi1,Southern Whiteface,
Aphelocephala nigricincta,banwhi1,Banded Whiteface,
Aphelocephala pectoralis,chbwhi1,Chestnut-breasted Whiteface,
Aphelocoma californica,cowscj1,California Scrub Jay,CASJ
Aphelocoma coerulescens,flsjay,Florida Scrub Jay,FLSJ
Aphelocoma insularis,issjay,Island Scrub Jay,ISSJ
Aphelocoma ultramarina,mexjay3,Transvolcanic Jay,TRJA
Aphelocoma unicolor,unijay1,Unicolored Jay,UNJA
Aphelocoma wollweberi,mexjay4,Mexican Jay,MEJA
Aphelocoma woodhouseii,wooscj2,Woodhouse's Scrub Jay,WOSJ
Aphractus acuminatus,,,
Aphrastura spinicauda,thtray1,Thorn-tailed Rayadito,
Aphrodroma brevirostris,kerpet2,Kerguelen Petrel,
Apis cerana,,,
Apis mellifera,,,
Aplastodiscus albosignatus,,,
Aplastodiscus arildae,,,
Aplastodiscus cavicola,,,
Aplastodiscus cochranae,,,
Aplastodiscus ehrhardti,,,
Aplastodiscus eugenioi,,,
Aplastodiscus leucopygius,,,
Aplastodiscus lutzorum,,,
Aplastodiscus perviridis,,,
Aplodinotus grunniens,,,
Aplonis atrifusca,samsta1,Samoan Starling,
Aplonis brunneicapillus,whesta2,White-eyed Starling,
Aplonis cantoroides,sinsta1,Singing Starling,
Aplonis cinerascens,rarsta1,Rarotonga Starling,
Aplonis crassa,tansta1,Tanimbar Starling,
Aplonis dichroa,sacsta1,Makira Starling,
Aplonis feadensis,atosta1,Atoll Starling,
Aplonis grandis,brwsta1,Brown-winged Starling,
Aplonis insularis,rensta1,Rennell Starling,
Aplonis magna,lotsta1,Long-tailed Starling,
Aplonis metallica,metsta1,Metallic Starling,
Aplonis minor,shtsta1,Short-tailed Starling,
Aplonis mysolensis,molsta1,Moluccan Starling,
Aplonis opaca,micsta1,Micronesian Starling,
Aplonis panayensis,asgsta1,Asian Glossy Starling,
Aplonis striata,strsta1,Striated Starling,
Aplonis tabuensis,polsta1,Polynesian Starling,
Aplonis zelandica,ruwsta1,Rusty-winged Starling,
Aplopelia larvata,lemdov2,Lemon Dove,
Apodemus sylvaticus,,,
Applause,,,
Aprositornis disjuncta,yapant1,Yapacana Antbird,
Aprosmictus erythropterus,rewpar1,Red-winged Parrot,
Aprosmictus jonquillaceus,olspar1,Jonquil Parrot,
Aptenodytes forsteri,emppen1,Emperor Penguin,
Aptenodytes patagonicus,kinpen1,King Penguin,
Apteryx australis,sobkiw1,Southern Brown Kiwi,
Apteryx mantelli,nibkiw1,North Island Brown Kiwi,
Apteryx maxima,grskiw1,Great Spotted Kiwi,
Apteryx owenii,liskiw1,Little Spotted Kiwi,
Apteryx rowi,okbkiw1,Okarito Kiwi,
Apus acuticauda,darswi1,Dark-rumped Swift,
Apus affinis,litswi1,Little Swift,
Apus alexandri,aleswi1,Cape Verde Swift,
Apus apus,comswi,Common Swift,COSW
Apus balstoni,madswi1,Malagasy Black Swift,
Apus barbatus,afrswi1,African Black Swift,
Apus batesi,batswi1,Bates's Swift,
Apus berliozi,fowswi1,Forbes-Watson's Swift,
Apus bradfieldi,braswi1,Bradfield's Swift,
Apus caffer,whrswi1,White-rumped Swift,
Apus cooki,,,
Apus horus,horswi1,Horus Swift,
Apus leuconyx,,,
Apus niansae,nyaswi1,Nyanza Swift,
Apus nipalensis,houswi1,House Swift,
Apus pacificus,fotswi,Fork-tailed Swift,FTSW
Apus pallidus,palswi3,Pallid Swift,
Apus salimalii,,,
Apus unicolor,plaswi1,Plain Swift,
Aquarana catesbeiana,,,
Aquarana clamitans,,,
Aquarana grylio,,,
Aquarana septentrionalis,,,
Aquila adalberti,spaeag1,Spanish Imperial Eagle,
Aquila africana,cashae1,Cassin's Hawk-Eagle,
Aquila audax,weteag1,Wedge-tailed Eagle,
Aquila chrysaetos,goleag,Golden Eagle,GOEA
Aquila fasciata,boneag2,Bonelli's Eagle,
Aquila gurneyi,gureag1,Gurney's Eagle,
Aquila heliaca,impeag1,Eastern Imperial Eagle,
Aquila nipalensis,steeag1,Steppe Eagle,
Aquila rapax,taweag1,Tawny Eagle,
Aquila spilogaster,afrhae1,African Hawk-Eagle,
Aquila verreauxii,vereag1,Verreaux's Eagle,
Ara ambiguus,grgmac,Great Green Macaw,GGMA
Ara ararauna,baymac,Blue-and-yellow Macaw,BAYM
Ara chloropterus,ragmac1,Red-and-green Macaw,RAGM
Ara macao,scamac1,Scarlet Macaw,SCMA
Ara militaris,milmac,Military Macaw,MIMA
Ara rubrogenys,refmac1,Red-fronted Macaw,
Ara severus,chfmac1,Chestnut-fronted Macaw,CFMA
Arachnothera affinis,stbspi2,Streaky-breasted Spiderhunter,
Arachnothera chrysogenys,yeespi1,Yellow-eared Spiderhunter,
Arachnothera clarae,nafspi1,Naked-faced Spiderhunter,
Arachnothera crassirostris,thbspi1,Thick-billed Spiderhunter,
Arachnothera dilutior,palspi2,Pale Spiderhunter,
Arachnothera everetti,borspi1,Bornean Spiderhunter,
Arachnothera flammifera,ortspi1,Orange-tufted Spiderhunter,
Arachnothera flavigaster,spespi2,Spectacled Spiderhunter,
Arachnothera juliae,whispi1,Whitehead's Spiderhunter,
Arachnothera longirostra,litspi1,Little Spiderhunter,
Arachnothera magna,strspi1,Streaked Spiderhunter,
Arachnothera modesta,gybspi2,Grey-breasted Spiderhunter,
Arachnothera robusta,lobspi1,Long-billed Spiderhunter,
Aramides albiventris,runwor1,Russet-naped Wood Rail,RSWR
Aramides axillaris,rnwrai1,Rufous-necked Wood Rail,RNWR
Aramides cajaneus,gycwor1,Grey-cowled Wood Rail,GCWR
Aramides calopterus,rwwrai1,Red-winged Wood Rail,
Aramides mangle,liwrai1,Little Wood Rail,
Aramides saracura,sbwrai1,Slaty-breasted Wood Rail,
Aramides wolfi,brwrai1,Brown Wood Rail,
Aramides ypecaha,giwrai1,Giant Wood Rail,
Aramidopsis plateni,plarai1,Snoring Rail,
Aramus guarauna,limpki,Limpkin,LIMP
Araneus diadematus,,,
Aratinga auricapillus,gocpar2,Golden-capped Parakeet,
Aratinga jandaya,janpar1,Jandaya Parakeet,
Aratinga maculata,subpar1,Sulphur-breasted Parakeet,
Aratinga nenday,bkhpar,Nanday Parakeet,NAPA
Aratinga solstitialis,sunpar1,Sun Parakeet,
Aratinga weddellii,duhpar,Dusky-headed Parakeet,
Arborophila ardens,haipar1,Hainan Partridge,
Arborophila atrogularis,whcpar1,White-cheeked Partridge,
Arborophila brunneopectus,babpar1,Bar-backed Partridge,
Arborophila cambodiana,chhpar1,Chestnut-headed Partridge,
Arborophila campbelli,gybpar3,Malayan Partridge,
Arborophila crudigularis,taipar1,Taiwan Partridge,
Arborophila davidi,ornpar1,Orange-necked Partridge,
Arborophila gingica,whnpar2,White-necklaced Partridge,
Arborophila hyperythra,rebpar5,Red-breasted Partridge,
Arborophila javanica,chbpar1,Chestnut-bellied Partridge,
Arborophila mandellii,chbpar2,Chestnut-breasted Partridge,
Arborophila rufipectus,sicpar1,Sichuan Partridge,
Arborophila rufogularis,rutpar1,Rufous-throated Partridge,
Arborophila torqueola,hilpar1,Hill Partridge,
Arcanator orostruthus,dapthr1,Dapple-throat,
Archboldia papuensis,arcbow1,Archbold's Bowerbird,
Archilochus alexandri,bkchum,Black-chinned Hummingbird,BCHU
Archilochus colubris,rthhum,Ruby-throated Hummingbird,RTHU
Arcovomer passarellii,,,
Arctia matronula,,,
Arctictis binturong,,,
Arctocephalus australis,,,
Arctocephalus gazella,,,
Arctocephalus pusillus,,,
Arctogalidia trivirgata,,,
Arcyptera albogeniculata,,,
Arcyptera fusca,,,
Arcyptera kheili,,,
Arcyptera microptera,,,
Arcyptera tornosi,,,
Ardea alba,greegr,Great Egret,GREG
Ardea cinerea,graher1,Grey Heron,GRAH
Ardea cocoi,cocher1,Cocoi Heron,COHE
Ardea coromanda,categr2,Eastern Cattle Egret,EACE
